Date/Time,Electricity:HVAC [J](TimeStep),Heating:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep),InteriorLights:Electricity [J](TimeStep),Electricity:Facility [J](Hourly) 
 07/21  01:00:00,29464121.06978996,0.0,24606901.182496082,35736227.99999992,90829361.06978986 
 07/21  02:00:00,29206839.325615417,0.0,24349619.43832153,35736227.99999992,90572079.32561532 
 07/21  03:00:00,29013700.282134287,0.0,24156480.394840404,35736227.99999992,90378940.28213418 
 07/21  04:00:00,28820685.974532127,0.0,23963466.087238245,35736227.99999992,90185925.97453204 
 07/21  05:00:00,28694106.597411335,0.0,23836886.71011746,35736227.99999992,90059346.59741125 
 07/21  06:00:00,28820675.424585078,0.0,23963455.53729119,35736227.99999992,90185915.42458498 
 07/21  07:00:00,39356526.53948854,0.0,38025745.828904934,35736227.99999992,100721766.53948846 
 07/21  08:00:00,42998509.878632076,0.0,41496584.24675218,35736227.99999992,104363749.878632 
 07/21  09:00:00,49062228.57417407,0.0,47076049.348413825,35736227.99999992,110427468.57417397 
 07/21  10:00:00,52215657.52482265,0.0,50040292.6616739,35736227.99999992,113580897.52482256 
 07/21  11:00:00,53998560.610985726,0.0,51781754.02235943,35736227.99999992,115363800.61098564 
 07/21  12:00:00,54371482.06869942,0.0,52247818.41450077,35736227.99999992,115736722.0686993 
 07/21  13:00:00,56408397.694900855,0.0,54148585.35517267,35736227.99999992,117773637.69490075 
 07/21  14:00:00,59961968.70562175,0.0,57308185.79281434,35736227.99999992,121327208.70562166 
 07/21  15:00:00,65961334.93535479,0.0,62329216.03534789,35736227.99999992,127326574.93535471 
 07/21  16:00:00,68543262.4296813,0.0,64268898.392465666,35736227.99999992,129908502.42968124 
 07/21  17:00:00,64683097.975959465,0.0,60935682.34815663,35736227.99999992,126048337.97595938 
 07/21  18:00:00,54629547.71038155,0.0,52281826.356577605,35736227.99999992,115994787.71038146 
 07/21  19:00:00,47314355.91880554,0.0,45635858.8264605,35736227.99999992,108679595.91880547 
 07/21  20:00:00,32489615.759344704,0.0,31838519.96351792,35736227.99999992,93854855.75934462 
 07/21  21:00:00,28686646.79471679,0.0,28147136.600430183,35736227.99999992,90051886.7947167 
 07/21  22:00:00,28758470.67049292,0.0,26250854.44192215,35736227.99999992,90123710.67049283 
 07/21  23:00:00,30313279.93090111,0.0,25456060.043607228,35736227.99999992,91678519.93090102 
 07/21  24:00:00,29849741.46675259,0.0,24992521.579458706,35736227.99999992,91214981.46675251 
 01/01  01:00:00,17121201.566321652,12263981.679027768,0.0,1786811.399999996,26596716.56632164 
 01/01  02:00:00,16873882.405707408,12016662.518413525,0.0,1786811.399999996,26349397.4057074 
 01/01  03:00:00,16688945.559938299,11831725.672644416,0.0,1786811.399999996,26164460.559938293 
 01/01  04:00:00,16208490.474570397,11351270.58727651,0.0,1786811.399999996,25684005.474570386 
 01/01  05:00:00,15729017.36460483,10871797.477310948,0.0,1786811.399999996,25204532.364604823 
 01/01  06:00:00,14980570.700721908,10123350.813428022,0.0,1786811.399999996,24456085.700721893 
 01/01  07:00:00,16493027.674439752,11635807.787145868,0.0,1786811.399999996,25968542.67443974 
 01/01  08:00:00,15637924.986170068,10780705.098876186,0.0,1786811.399999996,25113439.98617006 
