Time,PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 1:DesPer 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 1:DesPer 1:Des Heat Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 1:DesPer 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 1:DesPer 1:Des Sens Cool Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 1:DesPer 1:Des Tot Cool Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 2:DesPer 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 2:DesPer 1:Des Heat Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 2:DesPer 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 2:DesPer 1:Des Sens Cool Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 2:DesPer 1:Des Tot Cool Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 3:DesPer 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 3:DesPer 1:Des Heat Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 3:DesPer 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 3:DesPer 1:Des Sens Cool Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 3:DesPer 1:Des Tot Cool Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 4:DesPer 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 4:DesPer 1:Des Heat Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 4:DesPer 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 4:DesPer 1:Des Sens Cool Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 4:DesPer 1:Des Tot Cool Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 5:DesPer 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 5:DesPer 1:Des Heat Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 5:DesPer 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 5:DesPer 1:Des Sens Cool Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 5:DesPer 1:Des Tot Cool Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 6:DesPer 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 6:DesPer 1:Des Heat Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 6:DesPer 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 6:DesPer 1:Des Sens Cool Cap [W],PACKAGED ROOFTOP VAV WITH PFP BOXES AND REHEAT 6:DesPer 1:Des Tot Cool Cap [W]
01:00:00,6.304846E-02,0.000000E+00,6.304846E-02,1.021786E+03,2.597676E+03,1.396073E-01,0.000000E+00,1.396073E-01,2.262526E+03,5.751996E+03,5.700434E-02,0.000000E+00,5.700434E-02,9.238329E+02,2.348651E+03,6.304846E-02,0.000000E+00,6.304846E-02,1.021786E+03,2.597676E+03,1.396073E-01,0.000000E+00,1.396073E-01,2.262526E+03,5.751996E+03,1.318448E-01,0.000000E+00,1.318448E-01,2.136724E+03,5.432170E+03
02:00:00,6.304846E-02,0.000000E+00,6.304846E-02,1.004300E+03,2.579516E+03,1.396073E-01,0.000000E+00,1.396073E-01,2.223807E+03,5.711786E+03,5.700434E-02,0.000000E+00,5.700434E-02,9.080232E+02,2.332232E+03,6.304846E-02,0.000000E+00,6.304846E-02,1.004300E+03,2.579516E+03,1.396073E-01,0.000000E+00,1.396073E-01,2.223807E+03,5.711786E+03,1.318448E-01,0.000000E+00,1.318448E-01,2.100158E+03,5.394195E+03
03:00:00,6.304846E-02,0.000000E+00,6.304846E-02,9.911857E+02,2.565896E+03,1.396073E-01,0.000000E+00,1.396073E-01,2.194768E+03,5.681627E+03,5.700434E-02,0.000000E+00,5.700434E-02,8.961660E+02,2.319917E+03,6.304846E-02,0.000000E+00,6.304846E-02,9.911857E+02,2.565896E+03,1.396073E-01,0.000000E+00,1.396073E-01,2.194768E+03,5.681627E+03,1.318448E-01,0.000000E+00,1.318448E-01,2.072733E+03,5.365713E+03
04:00:00,6.304846E-02,0.000000E+00,6.304846E-02,9.780712E+02,2.552277E+03,1.396073E-01,0.000000E+00,1.396073E-01,2.165729E+03,5.651470E+03,5.700434E-02,0.000000E+00,5.700434E-02,8.843088E+02,2.307604E+03,6.304846E-02,0.000000E+00,6.304846E-02,9.780712E+02,2.552277E+03,1.396073E-01,0.000000E+00,1.396073E-01,2.165729E+03,5.651470E+03,1.318448E-01,0.000000E+00,1.318448E-01,2.045309E+03,5.337233E+03
05:00:00,6.304846E-02,0.000000E+00,6.304846E-02,9.693283E+02,2.543197E+03,1.396073E-01,0.000000E+00,1.396073E-01,2.146370E+03,5.631364E+03,5.700434E-02,0.000000E+00,5.700434E-02,8.764039E+02,2.299394E+03,6.304846E-02,0.000000E+00,6.304846E-02,9.693283E+02,2.543197E+03,1.396073E-01,0.000000E+00,1.396073E-01,2.146370E+03,5.631364E+03,1.318448E-01,0.000000E+00,1.318448E-01,2.027026E+03,5.318245E+03
06:00:00,6.304846E-02,0.000000E+00,6.304846E-02,9.780712E+02,2.552277E+03,1.396073E-01,0.000000E+00,1.396073E-01,2.165729E+03,5.651470E+03,5.700434E-02,0.000000E+00,5.700434E-02,8.843088E+02,2.307604E+03,6.304846E-02,0.000000E+00,6.304846E-02,9.780712E+02,2.552277E+03,1.396073E-01,0.000000E+00,1.396073E-01,2.165729E+03,5.651470E+03,1.318448E-01,0.000000E+00,1.318448E-01,2.045309E+03,5.337233E+03
07:00:00,6.304846E-02,0.000000E+00,2.271601E-01,3.634187E+03,9.310209E+03,1.396073E-01,0.000000E+00,4.965160E-01,7.943438E+03,2.034982E+04,5.700434E-02,0.000000E+00,1.978994E-01,3.166064E+03,8.110953E+03,6.304846E-02,0.000000E+00,2.261278E-01,3.617673E+03,9.267902E+03,1.396073E-01,0.000000E+00,4.883362E-01,7.812576E+03,2.001458E+04,1.318448E-01,0.000000E+00,4.689312E-01,7.502126E+03,1.921925E+04
08:00:00,6.304846E-02,0.000000E+00,2.257806E-01,3.878245E+03,9.530055E+03,1.396073E-01,0.000000E+00,5.029094E-01,8.638501E+03,2.122748E+04,5.700434E-02,0.000000E+00,1.923158E-01,3.303419E+03,8.117529E+03,6.304846E-02,0.000000E+00,2.301669E-01,3.953589E+03,9.715199E+03,1.396073E-01,0.000000E+00,4.824938E-01,8.287821E+03,2.036576E+04,1.318448E-01,0.000000E+00,4.596061E-01,7.894679E+03,1.939968E+04
09:00:00,6.304846E-02,0.000000E+00,2.713882E-01,5.019168E+03,1.182642E+04,1.396073E-01,0.000000E+00,5.960409E-01,1.102343E+04,2.597398E+04,5.700434E-02,0.000000E+00,2.258040E-01,4.176114E+03,9.839974E+03,6.304846E-02,0.000000E+00,2.782822E-01,5.146669E+03,1.212685E+04,1.396073E-01,0.000000E+00,5.713964E-01,1.056765E+04,2.490003E+04,1.318448E-01,0.000000E+00,5.468996E-01,1.011459E+04,2.383252E+04
10:00:00,6.304846E-02,0.000000E+00,2.830028E-01,5.567549E+03,1.267900E+04,1.396073E-01,0.000000E+00,6.089122E-01,1.197920E+04,2.728029E+04,5.700434E-02,0.000000E+00,2.298969E-01,4.522789E+03,1.029976E+04,6.304846E-02,0.000000E+00,2.927725E-01,5.759749E+03,1.311670E+04,1.396073E-01,0.000000E+00,5.877673E-01,1.156322E+04,2.633296E+04,1.318448E-01,0.000000E+00,5.644657E-01,1.110480E+04,2.528901E+04
